Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Referee,Season,Last5HomeOver2.5Perc,AS,Last5AwayOver2.5Perc,HS,HomeOver2.5Perc,AvgLast5AwayGoalsConceded,AwayOver2.5Perc,AvgLast5HomeGoalsScored,AST,AvgLast5HomeGoalsConceded,AvgLast5AwayGoalsScored,MaxC>2.5,B365C<2.5,AvgAwayGoalsConceded,Over2.5
2024-10-19,E0,15:00,Southampton,Leicester,A,H,A Taylor,2024/2025,50.0,18,100.0,14,68.42,2.5,73.68,0.75,4,2.0,2.0,1.83,2.1,2.42,1
2024-11-02,E0,15:00,Ipswich,Leicester,D,D,T Robinson,2024/2025,20.0,20,80.0,14,52.63,2.2,73.68,0.8,6,1.6,1.8,1.76,2.2,2.42,0
2024-11-10,E0,14:00,Man United,Leicester,H,H,P Bankes,2024/2025,80.0,6,80.0,13,52.63,2.4,73.68,1.2,5,1.6,1.6,1.52,2.63,2.42,1
2024-11-30,E0,15:00,Brentford,Leicester,H,H,M Oliver,2024/2025,80.0,7,80.0,13,63.16,2.8,73.68,3.4,3,2.0,1.4,1.63,2.38,2.42,1
2024-12-14,E0,15:00,Newcastle,Leicester,H,H,T Bramall,2024/2025,40.0,4,80.0,27,63.16,2.8,73.68,1.6,1,1.2,1.0,1.4,3.2,2.42,1
2024-12-26,E0,20:00,Liverpool,Leicester,H,D,D Bond,2024/2025,60.0,4,80.0,19,63.16,3.0,73.68,2.2,1,0.8,0.6,1.24,5.0,2.42,1
2025-01-04,E0,15:00,Aston Villa,Leicester,H,D,J Gillett,2024/2025,80.0,4,100.0,13,57.89,3.2,73.68,2.0,2,1.0,0.6,1.45,3.0,2.42,1
2025-01-26,E0,14:00,Tottenham,Leicester,A,H,R Jones,2024/2025,100.0,12,100.0,15,73.68,2.8,73.68,2.0,3,3.2,1.0,1.35,3.4,2.42,1
2025-02-01,E0,15:00,Everton,Leicester,H,H,D Bond,2024/2025,40.0,9,100.0,13,47.37,2.8,73.68,1.4,1,1.0,0.8,2.36,1.62,2.42,1
2025-02-27,E0,20:00,West Ham,Leicester,H,H,S Attwell,2024/2025,40.0,10,80.0,8,57.89,2.4,73.68,1.0,2,2.0,0.8,1.97,1.95,2.42,0
2025-03-09,E0,14:00,Chelsea,Leicester,H,D,T Robinson,2024/2025,80.0,3,60.0,20,57.89,2.0,73.68,2.4,3,0.8,0.6,1.46,2.75,2.42,0
2025-04-02,E0,19:45,Man City,Leicester,H,H,D England,2024/2025,60.0,2,40.0,18,73.68,2.0,73.68,2.2,0,1.0,0.4,1.4,3.2,2.42,0
2025-04-12,E0,15:00,Brighton,Leicester,D,D,D Bond,2024/2025,100.0,15,40.0,21,68.42,2.2,73.68,1.8,6,1.4,0.4,1.57,2.63,2.42,1
2025-04-26,E0,15:00,Wolves,Leicester,H,H,S Barrott,2024/2025,60.0,8,40.0,20,57.89,2.0,73.68,2.0,2,1.0,0.4,1.82,2.1,2.42,1
2025-05-11,E0,14:15,Nott'm Forest,Leicester,D,D,T Harrington,2024/2025,20.0,10,60.0,15,31.58,2.0,73.68,0.8,6,1.0,0.8,1.67,2.3,2.42,1
2025-05-25,E0,16:00,Bournemouth,Leicester,H,D,L Smith,2024/2025,20.0,3,60.0,20,31.58,2.2,73.68,1.0,0,0.8,0.8,1.5,2.63,2.42,0
2022-08-06,E0,12:30,Fulham,Liverpool,D,H,A Madley,2022/2023,100.0,11,100.0,9,73.68,2.0,68.42,2.0,4,2.0,2.0,1.51,2.62,1.58,1
2022-08-22,E0,20:00,Man United,Liverpool,H,H,M Oliver,2022/2023,100.0,17,100.0,12,57.89,2.0,68.42,1.5,5,1.5,1.5,1.54,2.62,1.58,1
2022-09-03,E0,12:30,Everton,Liverpool,D,D,A Taylor,2022/2023,0.0,23,66.67,14,42.11,1.33,68.42,0.33,8,0.67,1.0,1.65,2.62,1.58,0
2022-10-09,E0,16:30,Arsenal,Liverpool,H,H,M Oliver,2022/2023,100.0,8,75.0,11,89.47,1.75,68.42,2.8,3,1.4,1.25,1.58,2.5,1.58,1
2022-10-22,E0,12:30,Nott'm Forest,Liverpool,H,D,P Tierney,2022/2023,40.0,15,60.0,10,36.84,1.6,68.42,1.2,7,1.8,1.0,1.64,2.37,1.58,0
2022-11-06,E0,16:30,Tottenham,Liverpool,A,A,A Madley,2022/2023,80.0,13,60.0,14,57.89,1.4,68.42,2.4,6,1.4,1.0,1.72,2.2,1.58,1
2022-12-26,E0,17:30,Aston Villa,Liverpool,A,A,P Tierney,2022/2023,60.0,16,60.0,12,57.89,1.2,68.42,1.8,9,1.2,1.4,1.72,2.2,1.58,1
2023-01-02,E0,17:30,Brentford,Liverpool,H,H,S Attwell,2022/2023,40.0,16,80.0,10,47.37,1.8,68.42,1.6,6,0.8,1.6,1.68,2.3,1.58,1
2023-01-14,E0,15:00,Brighton,Liverpool,H,D,D England,2022/2023,80.0,6,80.0,16,52.63,1.8,68.42,2.0,2,1.4,1.2,1.62,2.38,1.58,1
2023-02-04,E0,15:00,Wolves,Liverpool,H,H,P Tierney,2022/2023,40.0,22,100.0,12,26.32,2.2,68.42,1.2,4,1.2,1.2,1.9,2.0,1.58,1
2023-02-18,E0,17:30,Newcastle,Liverpool,A,A,A Taylor,2022/2023,0.0,13,80.0,14,36.84,2.0,68.42,0.6,7,0.6,1.2,1.94,2.02,1.58,0
2023-02-25,E0,19:45,Crystal Palace,Liverpool,D,D,D England,2022/2023,20.0,12,60.0,6,42.11,1.8,68.42,0.4,4,1.2,0.6,1.86,2.0,1.58,0
2023-03-11,E0,12:30,Bournemouth,Liverpool,H,H,J Brooks,2022/2023,20.0,15,40.0,5,47.37,1.4,68.42,0.8,6,1.6,0.4,1.56,2.5,1.58,0
2023-04-01,E0,12:30,Man City,Liverpool,H,D,S Hooper,2022/2023,80.0,4,40.0,17,84.21,1.6,68.42,3.2,1,0.8,0.6,1.7,2.3,1.58,1
2023-04-04,E0,20:00,Chelsea,Liverpool,D,D,A Taylor,2022/2023,20.0,7,20.0,12,36.84,1.0,68.42,0.6,4,1.0,0.6,2.0,1.95,1.58,0
2023-04-17,E0,20:00,Leeds,Liverpool,A,A,C Pawson,2022/2023,80.0,13,40.0,13,63.16,1.2,68.42,1.4,7,2.8,1.4,1.55,2.63,1.58,1
2023-04-26,E0,19:45,West Ham,Liverpool,A,D,C Kavanagh,2022/2023,60.0,20,60.0,7,36.84,1.4,68.42,1.2,4,2.0,1.8,1.68,2.3,1.58,1
2023-05-15,E0,20:00,Leicester,Liverpool,A,A,C Pawson,2022/2023,80.0,16,80.0,4,63.16,1.2,68.42,1.0,5,1.8,2.4,1.53,2.63,1.58,1
2023-05-28,E0,16:30,Southampton,Liverpool,D,D,D England,2022/2023,40.0,30,80.0,15,47.37,1.2,68.42,1.0,8,2.6,3.0,1.37,3.2,1.58,1
2023-08-13,E0,16:30,Chelsea,Liverpool,D,D,A Taylor,2023/2024,0.0,13,0.0,10,63.16,1.0,63.16,1.0,1,1.0,1.0,1.58,2.5,1.26,0
2023-08-27,E0,16:30,Newcastle,Liverpool,A,H,J Brooks,2023/2024,100.0,9,50.0,23,68.42,1.0,63.16,3.0,4,1.5,1.5,1.57,2.5,1.26,1
2023-09-16,E0,12:30,Wolves,Liverpool,A,H,M Oliver,2023/2024,100.0,16,66.67,11,63.16,1.0,63.16,1.0,6,3.5,2.0,1.57,2.5,1.26,1
2023-09-30,E0,17:30,Tottenham,Liverpool,H,D,S Hooper,2023/2024,66.67,12,75.0,24,84.21,1.25,63.16,2.0,4,0.67,1.75,1.44,3.2,1.26,1
2023-10-08,E0,14:00,Brighton,Liverpool,D,A,A Taylor,2023/2024,100.0,14,80.0,14,57.89,1.4,63.16,2.6,4,1.6,1.8,1.35,3.5,1.26,1
2023-11-05,E0,16:30,Luton,Liverpool,D,D,A Madley,2023/2024,40.0,24,80.0,8,68.42,1.4,63.16,0.8,6,1.4,1.8,1.38,3.1,1.26,0
2023-11-25,E0,12:30,Man City,Liverpool,D,H,C Kavanagh,2023/2024,60.0,8,60.0,16,57.89,1.4,63.16,3.2,3,0.8,1.6,1.58,2.6,1.26,0
2023-12-06,E0,19:30,Sheffield United,Liverpool,A,A,S Hooper,2023/2024,80.0,15,40.0,6,84.21,1.2,63.16,0.8,8,3.2,1.4,1.4,3.5,1.26,0
2023-12-09,E0,12:30,Crystal Palace,Liverpool,A,D,A Madley,2023/2024,60.0,14,40.0,8,63.16,1.0,63.16,0.8,2,1.8,1.6,1.74,2.2,1.26,1
2023-12-26,E0,17:30,Burnley,Liverpool,A,A,P Tierney,2023/2024,40.0,19,20.0,9,57.89,0.6,63.16,1.2,10,1.6,1.6,1.54,2.7,1.26,0
2024-01-21,E0,16:30,Bournemouth,Liverpool,A,D,A Madley,2023/2024,80.0,14,40.0,11,63.16,0.4,63.16,1.8,7,1.4,2.2,1.48,2.88,1.26,1
2024-02-04,E0,16:30,Arsenal,Liverpool,H,D,A Taylor,2023/2024,60.0,10,60.0,15,73.68,0.8,63.16,2.4,1,0.8,2.2,1.76,2.15,1.26,1
2024-02-17,E0,12:30,Brentford,Liverpool,A,A,M Oliver,2023/2024,100.0,15,80.0,15,68.42,1.0,63.16,1.4,8,3.0,2.6,1.5,2.7,1.26,1
2024-03-02,E0,15:00,Nott'm Forest,Liverpool,A,D,P Tierney,2023/2024,60.0,22,60.0,8,52.63,0.8,63.16,1.4,2,1.4,2.4,1.58,2.4,1.26,0
2024-04-07,E0,15:30,Man United,Liverpool,D,A,A Taylor,2023/2024,80.0,28,80.0,9,68.42,1.2,63.16,2.0,7,1.2,2.4,1.34,3.5,1.26,1
2024-04-21,E0,16:30,Fulham,Liverpool,A,D,C Pawson,2023/2024,80.0,14,80.0,12,63.16,1.4,63.16,1.6,7,1.2,2.2,1.48,2.75,1.26,1
2024-04-24,E0,20:00,Everton,Liverpool,H,H,A Madley,2023/2024,20.0,23,60.0,16,36.84,1.2,63.16,1.4,7,0.8,2.0,1.53,2.63,1.26,0
2024-04-27,E0,12:30,West Ham,Liverpool,D,H,A Taylor,2023/2024,40.0,28,60.0,11,52.63,1.4,63.16,1.2,8,1.6,1.6,1.42,3.2,1.26,1
2024-05-13,E0,20:00,Aston Villa,Liverpool,D,A,S Hooper,2023/2024,80.0,14,80.0,19,78.95,2.0,63.16,2.6,7,1.8,2.0,1.39,3.2,1.26,1
2024-08-17,E0,12:30,Ipswich,Liverpool,A,D,T Robinson,2024/2025,0.0,18,0.0,7,52.63,0.0,63.16,0.0,5,2.0,2.0,1.4,3.2,1.32,0
2024-09-01,E0,16:00,Man United,Liverpool,A,A,A Taylor,2024/2025,50.0,11,50.0,8,52.63,0.0,63.16,0.5,3,1.5,2.5,1.52,2.75,1.32,1
2024-09-28,E0,17:30,Wolves,Liverpool,A,A,A Taylor,2024/2025,100.0,10,66.67,8,57.89,0.33,63.16,1.33,6,3.33,2.33,1.42,3.0,1.32,1
2024-10-05,E0,12:30,Crystal Palace,Liverpool,A,A,S Hooper,2024/2025,25.0,16,50.0,9,47.37,0.25,63.16,0.5,4,1.25,2.0,1.7,2.2,1.32,0
2024-10-27,E0,16:30,Arsenal,Liverpool,D,H,A Taylor,2024/2025,60.0,9,60.0,9,52.63,0.6,63.16,2.4,4,1.2,2.0,1.91,1.94,1.32,1
2024-11-24,E0,14:00,Southampton,Liverpool,A,D,S Barrott,2024/2025,60.0,27,80.0,7,68.42,1.0,63.16,1.2,11,2.0,2.2,1.44,3.0,1.32,1
2024-12-04,E0,19:30,Newcastle,Liverpool,D,H,A Madley,2024/2025,20.0,16,80.0,17,63.16,1.6,63.16,1.0,5,1.4,2.2,1.72,2.3,1.32,1
2024-12-22,E0,16:30,Tottenham,Liverpool,A,A,S Barrott,2024/2025,80.0,24,80.0,9,73.68,2.0,63.16,2.4,12,2.8,3.0,1.29,3.75,1.32,1
2024-12-29,E0,17:15,West Ham,Liverpool,A,A,A Taylor,2024/2025,60.0,22,100.0,7,57.89,2.0,63.16,1.0,13,2.4,3.8,1.44,3.0,1.32,1
2025-01-14,E0,20:00,Nott'm Forest,Liverpool,D,H,C Kavanagh,2024/2025,40.0,23,80.0,6,31.58,1.8,63.16,1.2,7,1.0,3.6,1.64,2.3,1.32,0
2025-01-18,E0,15:00,Brentford,Liverpool,A,D,A Madley,2024/2025,60.0,37,60.0,11,63.16,1.4,63.16,1.4,8,2.2,3.4,1.35,3.4,1.32,0
2025-02-01,E0,15:00,Bournemouth,Liverpool,A,A,D England,2024/2025,20.0,19,40.0,14,31.58,0.8,63.16,1.4,7,0.6,3.2,1.47,2.75,1.32,0
2025-02-12,E0,19:30,Everton,Liverpool,D,D,M Oliver,2024/2025,60.0,6,40.0,10,47.37,0.6,63.16,1.8,4,1.4,2.4,1.87,2.0,1.32,1
2025-02-19,E0,19:30,Aston Villa,Liverpool,D,H,C Pawson,2024/2025,60.0,17,40.0,9,57.89,1.0,63.16,1.6,3,1.4,1.8,1.6,2.38,1.32,1
2025-02-23,E0,16:30,Man City,Liverpool,A,A,A Taylor,2024/2025,60.0,8,40.0,16,73.68,0.8,63.16,2.4,4,1.0,2.0,1.58,2.63,1.32,0
2025-04-06,E0,14:00,Fulham,Liverpool,H,H,C Kavanagh,2024/2025,40.0,14,60.0,12,63.16,1.4,63.16,1.4,6,1.2,2.0,1.87,2.0,1.32,1
2025-04-20,E0,16:30,Leicester,Liverpool,A,D,S Attwell,2024/2025,60.0,28,60.0,5,47.37,1.4,63.16,0.0,10,2.6,1.8,1.39,3.2,1.32,0
2025-05-04,E0,16:30,Chelsea,Liverpool,H,H,S Hooper,2024/2025,40.0,11,60.0,17,57.89,1.6,63.16,1.6,2,0.6,1.6,1.53,2.63,1.32,1
2025-05-19,E0,20:00,Brighton,Liverpool,H,A,J Brooks,2024/2025,80.0,18,60.0,25,68.42,1.8,63.16,1.8,5,2.0,1.6,1.5,2.75,1.32,1
2023-08-12,E0,15:00,Brighton,Luton,H,H,D Coote,2023/2024,100.0,9,100.0,27,57.89,4.0,73.68,4.0,3,1.0,1.0,1.62,2.5,2.53,1
2023-08-25,E0,20:00,Chelsea,Luton,H,H,R Jones,2023/2024,50.0,11,100.0,19,63.16,3.5,73.68,2.0,1,0.5,0.5,1.67,2.3,2.53,1
2023-09-16,E0,15:00,Fulham,Luton,H,D,M Salisbury,2023/2024,50.0,7,66.67,13,63.16,2.67,73.68,0.5,2,1.5,0.33,2.19,1.73,2.53,0
2023-09-30,E0,15:00,Everton,Luton,A,A,A Taylor,2023/2024,25.0,9,75.0,23,36.84,2.25,73.68,0.25,2,1.25,0.75,2.13,1.87,2.53,1
2023-10-21,E0,15:00,Nott'm Forest,Luton,D,D,S Barrott,2023/2024,50.0,13,80.0,19,52.63,2.2,73.68,1.5,4,1.25,1.0,2.24,1.7,2.53,1
2023-10-29,E0,14:00,Aston Villa,Luton,H,H,J Brooks,2023/2024,100.0,7,80.0,17,78.95,2.0,73.68,4.0,1,0.8,1.0,1.53,2.7,2.53,1
2023-11-11,E0,15:00,Man United,Luton,H,D,G Scott,2023/2024,60.0,10,60.0,15,68.42,1.6,73.68,0.8,4,1.6,1.0,1.54,2.7,2.53,0
2023-12-02,E0,15:00,Brentford,Luton,H,D,A Taylor,2023/2024,80.0,7,80.0,27,68.42,2.0,73.68,2.0,1,1.4,1.2,1.85,2.05,2.53,1
2023-12-26,E0,15:00,Sheffield United,Luton,A,A,S Allison,2023/2024,60.0,12,80.0,21,84.21,2.2,73.68,1.2,4,1.8,1.4,2.36,1.67,2.53,1
2024-01-12,E0,19:45,Burnley,Luton,D,H,T Harrington,2023/2024,40.0,14,60.0,13,57.89,2.0,73.68,1.4,5,1.4,1.2,2.06,1.84,2.53,0
2024-02-03,E0,15:00,Newcastle,Luton,D,D,T Bramall,2023/2024,80.0,11,60.0,19,68.42,2.2,73.68,2.2,8,2.0,1.8,1.67,2.35,2.53,1
2024-02-21,E0,19:30,Liverpool,Luton,H,A,A Madley,2023/2024,80.0,12,80.0,29,68.42,2.8,73.68,3.2,3,1.2,2.0,1.39,3.1,2.53,1
2024-03-09,E0,15:00,Crystal Palace,Luton,D,H,S Singh,2023/2024,80.0,8,60.0,21,63.16,2.4,73.68,2.2,2,1.4,2.0,1.9,2.05,2.53,0
2024-03-13,E0,19:30,Bournemouth,Luton,H,A,S Allison,2023/2024,60.0,8,60.0,24,63.16,2.8,73.68,1.4,4,2.2,2.0,1.43,2.88,2.53,1
2024-03-30,E0,15:00,Tottenham,Luton,H,A,J Gillett,2023/2024,100.0,7,80.0,17,84.21,3.0,73.68,2.2,3,1.4,2.0,1.23,4.2,2.53,1
2024-04-03,E0,19:30,Arsenal,Luton,H,H,C Pawson,2023/2024,80.0,5,60.0,13,73.68,2.6,73.68,3.2,1,0.6,1.2,1.34,3.5,2.53,0
2024-04-13,E0,15:00,Man City,Luton,H,H,J Brooks,2023/2024,60.0,4,60.0,33,57.89,2.8,73.68,2.6,2,0.6,1.2,1.25,4.33,2.53,1
2024-04-27,E0,15:00,Wolves,Luton,H,H,D Coote,2023/2024,60.0,9,80.0,13,63.16,3.0,73.68,1.0,6,1.4,1.2,1.71,2.2,2.53,1
2024-05-11,E0,15:00,West Ham,Luton,H,A,M Oliver,2023/2024,40.0,4,80.0,24,52.63,2.8,73.68,1.4,1,1.4,0.8,1.43,3.0,2.53,1
2022-08-07,E0,16:30,West Ham,Man City,A,A,M Oliver,2022/2023,0.0,14,0.0,6,36.84,0.0,47.37,0.0,2,2.0,2.0,1.54,2.62,0.84,0
2022-08-21,E0,16:30,Newcastle,Man City,D,H,J Gillett,2022/2023,50.0,21,50.0,12,36.84,1.5,47.37,2.5,10,1.5,2.5,1.65,2.37,0.84,1
2022-09-03,E0,17:30,Aston Villa,Man City,D,D,S Hooper,2022/2023,33.33,13,33.33,3,57.89,1.33,47.37,1.0,4,1.0,2.0,1.5,2.75,0.84,0
2022-09-17,E0,12:30,Wolves,Man City,A,A,A Taylor,2022/2023,25.0,16,50.0,6,26.32,1.0,47.37,0.5,7,1.0,2.25,1.61,2.37,0.84,1
2022-10-16,E0,16:30,Liverpool,Man City,H,D,A Taylor,2022/2023,60.0,16,40.0,13,52.63,1.0,47.37,3.2,6,1.0,1.8,1.49,2.75,0.84,0
2022-10-29,E0,12:30,Leicester,Man City,A,D,R Jones,2022/2023,20.0,15,40.0,10,63.16,1.0,47.37,1.2,5,0.4,1.6,1.65,2.37,0.84,0
2022-12-28,E0,20:00,Leeds,Man City,A,A,S Attwell,2022/2023,60.0,26,40.0,9,63.16,0.6,47.37,1.4,9,2.0,1.6,1.42,3.0,0.84,1
2023-01-05,E0,20:00,Chelsea,Man City,A,D,P Tierney,2022/2023,20.0,12,40.0,8,36.84,0.4,47.37,1.2,3,0.6,1.6,1.83,2.1,0.84,0
2023-01-14,E0,12:30,Man United,Man City,H,D,S Attwell,2022/2023,60.0,5,40.0,8,57.89,0.8,47.37,2.2,1,0.2,1.2,1.77,2.2,0.84,1
2023-02-05,E0,16:30,Tottenham,Man City,H,H,A Madley,2022/2023,40.0,15,40.0,12,57.89,0.8,47.37,1.2,5,1.8,1.2,1.79,2.1,0.84,0
2023-02-15,E0,19:30,Arsenal,Man City,A,D,A Taylor,2022/2023,60.0,9,60.0,10,89.47,1.0,47.37,1.6,6,1.4,1.6,2.02,1.97,0.84,1
2023-02-18,E0,15:00,Nott'm Forest,Man City,D,A,G Scott,2022/2023,0.0,26,40.0,4,36.84,1.0,47.37,1.2,6,0.4,1.2,1.7,2.3,0.84,0
2023-02-25,E0,17:30,Bournemouth,Man City,A,A,P Tierney,2022/2023,40.0,20,60.0,13,47.37,1.2,47.37,1.2,5,1.6,1.8,1.68,2.38,0.84,1
2023-03-11,E0,17:30,Crystal Palace,Man City,A,D,R Jones,2022/2023,0.0,14,40.0,4,42.11,0.8,47.37,0.4,4,0.6,1.8,1.93,2.0,0.84,0
2023-04-08,E0,17:30,Southampton,Man City,A,A,R Jones,2022/2023,60.0,13,60.0,4,47.37,0.8,47.37,1.2,8,2.2,2.6,1.71,2.3,0.84,1
2023-04-30,E0,14:00,Fulham,Man City,A,A,S Hooper,2022/2023,60.0,12,60.0,4,73.68,0.8,47.37,0.8,9,1.6,2.4,1.65,2.38,0.84,1
2023-05-14,E0,14:00,Everton,Man City,A,A,A Taylor,2022/2023,60.0,9,80.0,7,42.11,0.6,47.37,0.8,4,2.2,2.8,1.68,2.2,0.84,1
2023-05-24,E0,20:00,Brighton,Man City,D,D,S Hooper,2022/2023,60.0,13,60.0,20,52.63,0.6,47.37,2.4,4,1.4,2.2,1.54,2.75,0.84,0
2023-05-28,E0,16:30,Brentford,Man City,H,D,J Brooks,2022/2023,40.0,17,60.0,11,47.37,0.8,47.37,1.4,3,0.8,2.0,1.9,2.02,0.84,0
2023-08-11,E0,20:00,Burnley,Man City,A,A,C Pawson,2023/2024,100.0,17,100.0,6,57.89,0.0,68.42,0.0,8,3.0,3.0,1.73,2.2,0.95,1
2023-08-27,E0,14:00,Sheffield United,Man City,A,D,J Gillett,2023/2024,50.0,30,100.0,6,84.21,0.5,68.42,0.5,9,1.5,2.5,1.66,2.38,0.95,1
2023-09-16,E0,15:00,West Ham,Man City,A,H,A Madley,2023/2024,100.0,29,100.0,6,52.63,0.67,68.42,2.0,15,2.0,2.67,1.83,2.1,0.95,1
2023-09-30,E0,15:00,Wolves,Man City,H,H,C Pawson,2023/2024,100.0,23,100.0,3,63.16,1.0,68.42,1.33,8,2.67,2.25,1.75,2.2,0.95,1
2023-10-08,E0,16:30,Arsenal,Man City,H,D,M Oliver,2023/2024,80.0,4,80.0,12,73.68,1.0,68.42,2.0,1,1.2,1.8,2.13,1.82,0.95,0
2023-10-29,E0,15:30,Man United,Man City,A,A,P Tierney,2023/2024,80.0,21,80.0,7,68.42,1.0,68.42,1.2,10,2.0,1.8,1.74,2.2,0.95,1
2023-11-12,E0,16:30,Chelsea,Man City,D,D,A Taylor,2023/2024,40.0,15,80.0,17,63.16,1.6,68.42,1.2,10,2.0,2.2,1.87,2.07,0.95,1
2023-12-06,E0,20:15,Aston Villa,Man City,H,D,J Brooks,2023/2024,80.0,2,60.0,22,78.95,1.6,68.42,3.4,2,0.8,1.6,1.72,2.25,0.95,0
2023-12-10,E0,14:00,Luton,Man City,A,H,T Robinson,2023/2024,60.0,18,60.0,4,68.42,1.4,68.42,1.4,6,1.8,1.8,1.62,2.4,0.95,1
2023-12-27,E0,20:15,Everton,Man City,A,H,J Brooks,2023/2024,60.0,23,80.0,7,36.84,1.4,68.42,1.4,9,1.4,2.4,2.0,1.95,0.95,1
2024-01-13,E0,17:30,Newcastle,Man City,A,H,C Kavanagh,2023/2024,80.0,27,80.0,12,68.42,1.8,68.42,2.2,11,1.4,2.4,1.84,2.15,0.95,1
2024-02-05,E0,20:00,Brentford,Man City,A,D,J Gillett,2023/2024,100.0,25,80.0,9,68.42,1.2,68.42,1.8,15,2.4,2.2,1.55,2.5,0.95,1
2024-02-24,E0,17:30,Bournemouth,Man City,A,A,J Gillett,2023/2024,60.0,15,80.0,13,63.16,1.0,68.42,1.2,6,1.6,2.4,1.54,2.6,0.95,0
2024-03-10,E0,15:45,Liverpool,Man City,D,A,M Oliver,2023/2024,80.0,10,60.0,19,68.42,1.0,68.42,3.2,6,1.2,2.2,1.52,2.6,0.95,0
2024-04-06,E0,12:30,Crystal Palace,Man City,A,D,P Tierney,2023/2024,80.0,18,60.0,7,63.16,1.2,68.42,2.0,8,2.0,2.4,1.73,2.2,0.95,1
2024-04-25,E0,20:00,Brighton,Man City,A,A,J Gillett,2023/2024,60.0,14,60.0,7,57.89,0.8,68.42,1.2,6,1.8,2.6,1.47,3.2,0.95,1
2024-04-28,E0,16:30,Nott'm Forest,Man City,A,A,S Hooper,2023/2024,40.0,11,40.0,14,52.63,0.6,68.42,1.2,5,1.4,2.4,1.58,2.63,0.95,0
2024-05-11,E0,12:30,Fulham,Man City,A,A,A Taylor,2023/2024,60.0,16,60.0,1,63.16,0.6,68.42,1.0,9,1.8,3.0,1.35,3.4,0.95,1
2024-05-14,E0,20:00,Tottenham,Man City,A,D,C Kavanagh,2023/2024,80.0,8,60.0,10,84.21,0.4,68.42,1.8,5,1.6,3.2,1.32,3.75,0.95,0
2024-08-18,E0,16:30,Chelsea,Man City,A,A,A Taylor,2024/2025,0.0,11,0.0,10,57.89,0.0,47.37,0.0,5,2.0,2.0,1.61,2.38,1.11,0
2024-08-31,E0,17:30,West Ham,Man City,A,A,M Oliver,2024/2025,100.0,23,50.0,10,57.89,0.5,47.37,1.0,8,2.5,2.5,1.58,2.5,1.11,1
2024-09-28,E0,12:30,Newcastle,Man City,D,A,J Gillett,2024/2025,33.33,16,33.33,11,63.16,0.67,47.37,1.33,6,0.67,2.0,1.63,2.38,1.11,0
2024-10-20,E0,14:00,Wolves,Man City,A,D,C Kavanagh,2024/2025,100.0,22,50.0,3,57.89,0.75,47.37,1.25,7,3.0,2.0,1.52,2.63,1.11,1
2024-11-02,E0,15:00,Bournemouth,Man City,H,H,M Oliver,2024/2025,40.0,18,60.0,12,31.58,1.0,47.37,1.6,4,0.8,1.8,1.64,2.38,1.11,1
2024-11-09,E0,17:30,Brighton,Man City,H,A,S Barrott,2024/2025,80.0,15,80.0,10,68.42,1.4,47.37,1.8,6,1.4,1.6,1.53,2.75,1.11,1
2024-12-01,E0,16:00,Liverpool,Man City,H,H,C Kavanagh,2024/2025,60.0,8,60.0,18,63.16,1.6,47.37,2.2,2,0.4,1.0,1.57,2.45,1.11,0
2024-12-07,E0,15:00,Crystal Palace,Man City,D,D,R Jones,2024/2025,20.0,12,80.0,12,47.37,1.8,47.37,0.8,4,1.2,1.2,1.73,2.3,1.11,1
2024-12-21,E0,12:30,Aston Villa,Man City,H,H,P Bankes,2024/2025,60.0,12,80.0,11,57.89,2.0,47.37,1.8,6,1.0,1.0,1.66,2.3,1.11,1
2024-12-29,E0,14:30,Leicester,Man City,A,A,M Oliver,2024/2025,80.0,14,60.0,11,47.37,1.6,47.37,1.2,5,2.0,1.2,1.37,3.4,1.11,0
2025-01-14,E0,19:30,Brentford,Man City,D,D,A Taylor,2024/2025,80.0,21,60.0,18,63.16,1.6,47.37,2.2,8,2.0,1.4,1.44,2.75,1.11,1
2025-01-19,E0,16:30,Ipswich,Man City,A,A,S Barrott,2024/2025,60.0,17,80.0,8,52.63,1.2,47.37,0.6,9,2.8,2.6,1.57,2.63,1.11,1
2025-02-02,E0,16:30,Arsenal,Man City,H,H,P Bankes,2024/2025,60.0,7,80.0,12,52.63,1.8,47.37,2.0,4,0.8,2.4,1.76,2.38,1.11,1
2025-02-26,E0,19:30,Tottenham,Man City,A,A,J Gillett,2024/2025,60.0,12,60.0,11,73.68,1.4,47.37,1.0,5,1.4,2.4,1.37,3.4,1.11,0
2025-03-08,E0,12:30,Nott'm Forest,Man City,H,D,C Kavanagh,2024/2025,40.0,14,60.0,9,31.58,1.6,47.37,2.4,3,0.6,2.0,1.67,2.38,1.11,0
2025-04-06,E0,16:30,Man United,Man City,D,D,J Brooks,2024/2025,40.0,9,40.0,13,52.63,1.2,47.37,1.0,5,1.6,1.6,1.68,2.2,1.11,0
2025-04-19,E0,15:00,Everton,Man City,A,D,S Hooper,2024/2025,40.0,12,20.0,8,47.37,1.2,47.37,1.2,7,1.6,0.8,2.0,2.04,1.11,0
2025-05-10,E0,15:00,Southampton,Man City,D,D,T Robinson,2024/2025,60.0,26,0.0,2,68.42,0.2,47.37,0.6,5,1.6,0.6,1.45,3.0,1.11,0
2025-05-25,E0,16:00,Fulham,Man City,A,A,A Madley,2024/2025,60.0,20,0.0,13,63.16,0.2,47.37,1.4,5,1.8,0.8,1.61,2.38,1.11,0
